fund,date,asset,weight
Combined Equal-Weight,2021-05-03,COP,0.016666666666666666
Combined Equal-Weight,2021-05-03,CVX,0.016666666666666666
Combined Equal-Weight,2021-05-03,D,0.016666666666666666
Combined Equal-Weight,2021-05-03,DD,0.016666666666666666
Combined Equal-Weight,2021-05-03,DIS,0.016666666666666666
Combined Equal-Weight,2021-05-03,DOW,0.016666666666666666
Combined Equal-Weight,2021-05-03,DUK,0.016666666666666666
Combined Equal-Weight,2021-05-03,EA,0.016666666666666666
Combined Equal-Weight,2021-05-03,EOS-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,ETC-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,ETH-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,GE,0.016666666666666666
Combined Equal-Weight,2021-05-03,GILD,0.016666666666666666
Combined Equal-Weight,2021-05-03,GS,0.016666666666666666
Combined Equal-Weight,2021-05-03,INTC,0.016666666666666666
Combined Equal-Weight,2021-05-03,KO,0.016666666666666666
Combined Equal-Weight,2021-05-03,LTC-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,MMM,0.016666666666666666
Combined Equal-Weight,2021-05-03,MRK,0.016666666666666666
Combined Equal-Weight,2021-05-03,MS,0.016666666666666666
Combined Equal-Weight,2021-05-03,NEE,0.016666666666666666
Combined Equal-Weight,2021-05-03,NEM,0.016666666666666666
Combined Equal-Weight,2021-05-03,NKE,0.016666666666666666
Combined Equal-Weight,2021-05-03,NUE,0.016666666666666666
Combined Equal-Weight,2021-05-03,NVDA,0.016666666666666666
Combined Equal-Weight,2021-05-03,O,0.016666666666666666
Combined Equal-Weight,2021-05-03,OXY,0.016666666666666666
Combined Equal-Weight,2021-05-03,PLD,0.016666666666666666
Combined Equal-Weight,2021-05-03,PSA,0.016666666666666666
Combined Equal-Weight,2021-05-03,QCOM,0.016666666666666666
Combined Equal-Weight,2021-05-03,SBUX,0.016666666666666666
Combined Equal-Weight,2021-05-03,SHW,0.016666666666666666
Combined Equal-Weight,2021-05-03,SLB,0.016666666666666666
Combined Equal-Weight,2021-05-03,SO,0.016666666666666666
Combined Equal-Weight,2021-05-03,T,0.016666666666666666
Combined Equal-Weight,2021-05-03,TMUS,0.016666666666666666
Combined Equal-Weight,2021-05-03,TRX-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,TTWO,0.016666666666666666
Combined Equal-Weight,2021-05-03,UPS,0.016666666666666666
Combined Equal-Weight,2021-05-03,USB,0.016666666666666666
Combined Equal-Weight,2021-05-03,V,0.016666666666666666
Combined Equal-Weight,2021-05-03,WFC,0.016666666666666666
Combined Equal-Weight,2021-05-03,WMT,0.016666666666666666
Combined Equal-Weight,2021-05-03,XLM-USD,0.016666666666666666
Combined Equal-Weight,2021-05-03,XOM,0.016666666666666666
Combined Equal-Weight,2021-05-03,XRP-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,ABBV,0.016666666666666666
Combined Equal-Weight,2021-06-01,ABT,0.016666666666666666
Combined Equal-Weight,2021-06-01,ADA-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,ADBE,0.016666666666666666
Combined Equal-Weight,2021-06-01,AEP,0.016666666666666666
Combined Equal-Weight,2021-06-01,AMD,0.016666666666666666
Combined Equal-Weight,2021-06-01,AMGN,0.016666666666666666
Combined Equal-Weight,2021-06-01,AMT,0.016666666666666666
Combined Equal-Weight,2021-06-01,BA,0.016666666666666666
Combined Equal-Weight,2021-06-01,BCH-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,BTC-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,CAT,0.016666666666666666
Combined Equal-Weight,2021-06-01,CCI,0.016666666666666666
Combined Equal-Weight,2021-06-01,CMCSA,0.016666666666666666
Combined Equal-Weight,2021-06-01,COP,0.016666666666666666
Combined Equal-Weight,2021-06-01,CVX,0.016666666666666666
Combined Equal-Weight,2021-06-01,D,0.016666666666666666
Combined Equal-Weight,2021-06-01,DD,0.016666666666666666
Combined Equal-Weight,2021-06-01,DIS,0.016666666666666666
Combined Equal-Weight,2021-06-01,DOW,0.016666666666666666
Combined Equal-Weight,2021-06-01,DUK,0.016666666666666666
Combined Equal-Weight,2021-06-01,EA,0.016666666666666666
Combined Equal-Weight,2021-06-01,EOS-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,ETC-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,ETH-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,GE,0.016666666666666666
Combined Equal-Weight,2021-06-01,GILD,0.016666666666666666
Combined Equal-Weight,2021-06-01,GS,0.016666666666666666
Combined Equal-Weight,2021-06-01,INTC,0.016666666666666666
Combined Equal-Weight,2021-06-01,KO,0.016666666666666666
Combined Equal-Weight,2021-06-01,LTC-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,MMM,0.016666666666666666
Combined Equal-Weight,2021-06-01,MRK,0.016666666666666666
Combined Equal-Weight,2021-06-01,MS,0.016666666666666666
Combined Equal-Weight,2021-06-01,NEE,0.016666666666666666
Combined Equal-Weight,2021-06-01,NEM,0.016666666666666666
Combined Equal-Weight,2021-06-01,NKE,0.016666666666666666
Combined Equal-Weight,2021-06-01,NUE,0.016666666666666666
Combined Equal-Weight,2021-06-01,NVDA,0.016666666666666666
Combined Equal-Weight,2021-06-01,O,0.016666666666666666
Combined Equal-Weight,2021-06-01,OXY,0.016666666666666666
Combined Equal-Weight,2021-06-01,PLD,0.016666666666666666
Combined Equal-Weight,2021-06-01,PSA,0.016666666666666666
Combined Equal-Weight,2021-06-01,QCOM,0.016666666666666666
Combined Equal-Weight,2021-06-01,SBUX,0.016666666666666666
Combined Equal-Weight,2021-06-01,SHW,0.016666666666666666
Combined Equal-Weight,2021-06-01,SLB,0.016666666666666666
Combined Equal-Weight,2021-06-01,SO,0.016666666666666666
Combined Equal-Weight,2021-06-01,T,0.016666666666666666
Combined Equal-Weight,2021-06-01,TMUS,0.016666666666666666
Combined Equal-Weight,2021-06-01,TRX-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,TTWO,0.016666666666666666
Combined Equal-Weight,2021-06-01,UPS,0.016666666666666666
Combined Equal-Weight,2021-06-01,USB,0.016666666666666666
Combined Equal-Weight,2021-06-01,V,0.016666666666666666
Combined Equal-Weight,2021-06-01,WFC,0.016666666666666666
Combined Equal-Weight,2021-06-01,WMT,0.016666666666666666
Combined Equal-Weight,2021-06-01,XLM-USD,0.016666666666666666
Combined Equal-Weight,2021-06-01,XOM,0.016666666666666666
Combined Equal-Weight,2021-06-01,XRP-USD,0.016666666666666666
Combined Equal-Weight,2021-07-01,ABBV,0.016666666666666666
Combined Equal-Weight,2021-07-01,ABT,0.016666666666666666
Combined Equal-Weight,2021-07-01,ADA-USD,0.016666666666666666
Combined Equal-Weight,2021-07-01,ADBE,0.016666666666666666
Combined Equal-Weight,2021-07-01,AEP,0.016666666666666666
Combined Equal-Weight,2021-07-01,AMD,0.016666666666666666
Combined Equal-Weight,2021-07-01,AMGN,0.016666666666666666
Combined Equal-Weight,2021-07-01,AMT,0.016666666666666666
Combined Equal-Weight,2021-07-01,BA,0.016666666666666666
Combined Equal-Weight,2021-07-01,BCH-USD,0.016666666666666666
Combined Equal-Weight,2021-07-01,BTC-USD,0.016666666666666666
Combined Equal-Weight,2021-07-01,CAT,0.016666666666666666
Combined Equal-Weight,2021-07-01,CCI,0.016666666666666666
Combined Equal-Weight,2021-07-01,CMCSA,0.016666666666666666
Combined Equal-Weight,2021-07-01,COP,0.016666666666666666
Combined Equal-Weight,2021-07-01,CVX,0.016666666666666666
Combined Equal-Weight,2021-07-01,D,0.016666666666666666
Combined Equal-Weight,2021-07-01,DD,0.016666666666666666
Combined Equal-Weight,2021-07-01,DIS,0.016666666666666666
Combined Equal-Weight,2021-07-01,DOW,0.016666666666666666
Combined Equal-Weight,2021-07-01,DUK,0.016666666666666666
Combined Equal-Weight,2021-07-01,EA,0.016666666666666666
Combined Equal-Weight,2021-07-01,EOS-USD,0.016666666666666666
Combined Equal-Weight,2021-07-01,ETC-USD,0.016666666666666666
Combined Equal-Weight,2021-07-01,ETH-USD,0.016666666666666666
