fund,date,daily_return
Combined Equal-Weight,2021-11-16,-0.014269076752689023
Combined Equal-Weight,2021-11-17,-0.004503910391576135
Combined Equal-Weight,2021-11-18,-0.012178625840402222
Combined Equal-Weight,2021-11-19,0.0016083130038162291
Combined Equal-Weight,2021-11-22,-0.0043254668527288875
Combined Equal-Weight,2021-11-23,0.010080833081749263
Combined Equal-Weight,2021-11-24,-0.002837992481822486
Combined Equal-Weight,2021-11-26,-0.029338476707881755
Combined Equal-Weight,2021-11-29,0.008916650891831267
Combined Equal-Weight,2021-11-30,-0.01844936691249475
Combined Equal-Weight,2021-12-01,-0.011750985011291237
Combined Equal-Weight,2021-12-02,0.018424546320772138
Combined Equal-Weight,2021-12-03,-0.00989665005268462
Combined Equal-Weight,2021-12-06,0.017967098671794034
Combined Equal-Weight,2021-12-07,0.011524713550818215
Combined Equal-Weight,2021-12-08,0.005738811185586794
Combined Equal-Weight,2021-12-09,-0.017306547344091625
Combined Equal-Weight,2021-12-10,-0.0017509506946767062
Combined Equal-Weight,2021-12-13,-0.01847500062645433
Combined Equal-Weight,2021-12-14,0.00037317725438743194
Combined Equal-Weight,2021-12-15,0.01533648303075982
Combined Equal-Weight,2021-12-16,-0.001455775154937346
Combined Equal-Weight,2021-12-17,-0.014493090540587995
Combined Equal-Weight,2021-12-20,-0.006322349334487458
Combined Equal-Weight,2021-12-21,0.017718322151441344
Combined Equal-Weight,2021-12-22,0.005884459350951686
Combined Equal-Weight,2021-12-23,0.01298087177425178
Combined Equal-Weight,2021-12-27,0.011695336888605875
Combined Equal-Weight,2021-12-28,-0.009558348712256833
Combined Equal-Weight,2021-12-29,-0.004461703030257021
Combined Equal-Weight,2021-12-30,0.0015601369410051652
Combined Equal-Weight,2021-12-31,-0.003464394306561567
Combined Equal-Weight,2022-01-03,0.003123160162046699
Combined Equal-Weight,2022-01-04,0.004945424476565639
Combined Equal-Weight,2022-01-05,-0.018520541664949264
Combined Equal-Weight,2022-01-06,0.00035154698139848743
Combined Equal-Weight,2022-01-07,-0.005573185878732739
Combined Equal-Weight,2022-01-10,-0.010468008645634554
Combined Equal-Weight,2022-01-11,0.014117589837793546
Combined Equal-Weight,2022-01-12,0.011324891190994092
Combined Equal-Weight,2022-01-13,-0.009911573013603521
Combined Equal-Weight,2022-01-14,0.005830496410168117
Combined Equal-Weight,2022-01-18,-0.011533023635334367
Combined Equal-Weight,2022-01-19,-0.010489090579142503
Combined Equal-Weight,2022-01-20,-0.01697219514854896
Combined Equal-Weight,2022-01-21,-0.03006122398201549
Combined Equal-Weight,2022-01-24,-0.0028541466834678063
Combined Equal-Weight,2022-01-25,-0.0027430716109983653
Combined Equal-Weight,2022-01-26,-0.006530534848476083
Combined Equal-Weight,2022-01-27,-0.004293893754328957
Combined Equal-Weight,2022-01-28,0.0183096178597727
Combined Equal-Weight,2022-01-31,0.014107319571363016
Combined Equal-Weight,2022-02-01,0.012964162723813271
Combined Equal-Weight,2022-02-02,0.0017817301239004529
Combined Equal-Weight,2022-02-03,-0.00535646553699757
Combined Equal-Weight,2022-02-04,0.013733646897065199
Combined Equal-Weight,2022-02-07,0.013688791888446367
Combined Equal-Weight,2022-02-08,0.0029371659880817287
Combined Equal-Weight,2022-02-09,0.013799729865727304
Combined Equal-Weight,2022-02-10,-0.018483629148971906
Combined Equal-Weight,2022-02-11,-0.01848541179562176
Combined Equal-Weight,2022-02-14,-0.006096454332451162
Combined Equal-Weight,2022-02-15,0.017944771341906925
Combined Equal-Weight,2022-02-16,-0.0029439425950380242
Combined Equal-Weight,2022-02-17,-0.025669044392356868
Combined Equal-Weight,2022-02-18,-0.008308974284683532
Combined Equal-Weight,2022-02-22,0.0010145262277304046
Combined Equal-Weight,2022-02-23,-0.013019673685019412
Combined Equal-Weight,2022-02-24,0.005844886592826034
Combined Equal-Weight,2022-02-25,0.028299068288828368
Combined Equal-Weight,2022-02-28,0.014981012301147338
Combined Equal-Weight,2022-03-01,-0.010226922298809874
Combined Equal-Weight,2022-03-02,0.013323609703012582
Combined Equal-Weight,2022-03-03,-0.003943445898772509
Combined Equal-Weight,2022-03-04,-0.010092048189367155
Combined Equal-Weight,2022-03-07,-0.01776908707754453
Combined Equal-Weight,2022-03-08,-0.0005181088985887557
Combined Equal-Weight,2022-03-09,0.02275385732553449
Combined Equal-Weight,2022-03-10,-0.008283750117282968
Combined Equal-Weight,2022-03-11,-0.005725738540850366
Combined Equal-Weight,2022-03-14,-0.003629062472281808
Combined Equal-Weight,2022-03-15,0.008665417098065818
Combined Equal-Weight,2022-03-16,0.02011624343873986
Combined Equal-Weight,2022-03-17,0.011785017412108273
Combined Equal-Weight,2022-03-18,0.007895695606537636
Combined Equal-Weight,2022-03-21,0.0070109715696001045
Combined Equal-Weight,2022-03-22,0.015103216163539686
Combined Equal-Weight,2022-03-23,-0.006049250070386996
Combined Equal-Weight,2022-03-24,0.013068632416285836
Combined Equal-Weight,2022-03-25,0.005595401879406856
Combined Equal-Weight,2022-03-28,0.001447418861126204
Combined Equal-Weight,2022-03-29,0.012684810195777252
Combined Equal-Weight,2022-03-30,-0.0019830263042148032
Combined Equal-Weight,2022-03-31,-0.017306133656382425
Combined Equal-Weight,2022-04-01,0.0073455156681250236
Combined Equal-Weight,2022-04-04,0.0008953739066797098
Combined Equal-Weight,2022-04-05,-0.013658704065118672
Combined Equal-Weight,2022-04-06,-0.016328677696710422
Combined Equal-Weight,2022-04-07,0.007364622930832038
Combined Equal-Weight,2022-04-08,-0.004348636173546209
Combined Equal-Weight,2022-04-11,-0.023264955744011714
Combined Equal-Weight,2022-04-12,0.004007312985704973
Combined Equal-Weight,2022-04-13,0.013787966587576847
Combined Equal-Weight,2022-04-14,-0.005741101907638509
Combined Equal-Weight,2022-04-18,0.004428319975481326
Combined Equal-Weight,2022-04-19,0.014011769138049196
Combined Equal-Weight,2022-04-20,-0.0007653785091205787
Combined Equal-Weight,2022-04-21,-0.013784294691622687
Combined Equal-Weight,2022-04-22,-0.021214101715744397
Combined Equal-Weight,2022-04-25,-0.00044088502730586316
Combined Equal-Weight,2022-04-26,-0.028544543537565997
Combined Equal-Weight,2022-04-27,0.004447883171157322
Combined Equal-Weight,2022-04-28,0.016149437880903197
Combined Equal-Weight,2022-04-29,-0.03535914037351933
Combined Equal-Weight,2022-05-02,0.003043863419666624
Combined Equal-Weight,2022-05-03,0.0035640299123010435
Combined Equal-Weight,2022-05-04,0.041779191869066076
Combined Equal-Weight,2022-05-05,-0.03567404621053816
Combined Equal-Weight,2022-05-06,-0.0014604223199472903
Combined Equal-Weight,2022-05-09,-0.05231015937226137
Combined Equal-Weight,2022-05-10,0.002289456630839913
Combined Equal-Weight,2022-05-11,-0.026863850658016598
